,Ph1,Ph2,Ph3,Ph4,Ph5,Ph6,Ph7,Ph8,Ph123,Ph567
0,3.0,6.5,4.0,5.0,6.5,5.5,9.0,2.5,13.5,21.0
1,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,14.5,7.0
2,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,23.0,12.5
3,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,29.0,26.0
4,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,26.0,24.0
5,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,27.0,20.5
6,5.0,4.5,8.0,6.75,2.5,9.0,8.25,6.25,14.0,17.25
7,0.0,3.5,4.5,6.5,3.5,10.0,5.5,5.5,19.5,20.5
8,6.666666666666667,5.666666666666667,8.666666666666666,7.333333333333333,2.0,9.666666666666666,8.333333333333334,4.666666666666667,18.0,17.333333333333336
9,6.5,5.5,5.5,6.0,2.5,9.0,3.5,5.0,10.0,28.0
10,6.666666666666667,5.666666666666667,8.666666666666666,7.333333333333333,2.0,9.666666666666666,8.333333333333334,4.666666666666667,16.666666666666664,14.000000000000002
11,6.5,5.5,5.5,6.0,2.5,9.0,3.5,5.0,16.5,17.0
12,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,20.5,17.5
13,5.0,4.5,8.0,6.75,2.5,9.0,8.25,6.25,19.25,12.25
14,0.0,6.0,3.0,8.0,3.0,13.0,3.0,0.0,16.0,9.0
15,7.333333333333333,8.333333333333334,10.0,6.666666666666667,3.0,9.0,10.0,5.333333333333333,18.0,19.666666666666668
16,13.0,5.0,8.0,4.0,2.0,5.0,4.0,10.0,39.0,12.0
17,4.5,10.0,11.0,8.0,3.5,11.0,13.0,3.0,20.0,23.5
18,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,7.5,17.5
19,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,25.5,26.5
20,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,15.5,33.0
21,6.666666666666667,5.666666666666667,8.666666666666666,7.333333333333333,2.0,9.666666666666666,8.333333333333334,4.666666666666667,19.0,14.000000000000002
22,4.333333333333333,4.0,5.666666666666667,5.666666666666667,3.0,8.333333333333334,5.0,7.0,14.333333333333332,22.333333333333332
23,6.5,5.5,5.5,6.0,2.5,9.0,3.5,5.0,15.0,25.5
24,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,11.5,21.0
25,6.666666666666667,5.666666666666667,8.666666666666666,7.333333333333333,2.0,9.666666666666666,8.333333333333334,4.666666666666667,17.333333333333332,27.666666666666668
26,4.333333333333333,4.0,5.666666666666667,5.666666666666667,3.0,8.333333333333334,5.0,7.0,19.333333333333332,14.333333333333332
27,4.333333333333333,4.0,5.666666666666667,5.666666666666667,3.0,8.333333333333334,5.0,7.0,7.666666666666666,23.0
28,4.333333333333333,4.0,5.666666666666667,5.666666666666667,3.0,8.333333333333334,5.0,7.0,19.666666666666664,20.333333333333336
29,6.5,5.5,5.5,6.0,2.5,9.0,3.5,5.0,12.0,33.0
30,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,18.0,29.5
31,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,18.0,23.0
32,6.666666666666667,5.666666666666667,8.666666666666666,7.333333333333333,2.0,9.666666666666666,8.333333333333334,4.666666666666667,13.666666666666666,28.333333333333332
33,4.333333333333333,4.0,5.666666666666667,5.666666666666667,3.0,8.333333333333334,5.0,7.0,9.0,24.666666666666664
34,4.333333333333333,4.0,5.666666666666667,5.666666666666667,3.0,8.333333333333334,5.0,7.0,11.666666666666668,16.666666666666664
35,13.0,5.0,8.0,4.0,2.0,5.0,4.0,10.0,13.0,11.0
36,7.333333333333333,8.333333333333334,10.0,6.666666666666667,3.0,9.0,10.0,5.333333333333333,18.333333333333332,24.333333333333336
