,Starting date,Ending date,Average amp,Total duration
1,18-nov-1981,28-dec-1981,1.0909,41.0
2,27-feb-1982,10-apr-1982,1.0047,43.0
3,22-nov-1982,10-dec-1982,1.1681,19.0
4,11-dec-1982,30-jan-1983,1.2185,51.0
5,25-jan-1984,24-mar-1984,1.0311,60.0
6,25-mar-1984,25-apr-1984,1.1736,32.0
7,1-nov-1984,22-jan-1985,1.5093,83.0
8,23-jan-1985,30-mar-1985,2.2174,67.0
9,20-dec-1985,26-feb-1986,1.5785,69.0
10,27-feb-1986,23-apr-1986,1.8479,56.0
11,24-dec-1986,5-mar-1987,1.2947,72.0
12,6-mar-1987,25-apr-1987,1.3958,51.0
13,27-oct-1987,1-dec-1987,1.8443,36.0
14,2-dec-1987,12-jan-1988,1.4017,42.0
15,13-jan-1988,29-feb-1988,1.8715,48.0
16,1-mar-1988,14-apr-1988,2.7221,45.0
17,28-dec-1988,17-feb-1989,1.6329,52.0
18,24-mar-1989,4-may-1989,1.5252,42.0
19,19-dec-1989,9-feb-1990,1.8321,53.0
20,10-feb-1990,28-mar-1990,2.0194,47.0
21,29-mar-1990,26-apr-1990,1.8076,29.0
22,5-dec-1990,13-jan-1991,1.0451,40.0
23,14-jan-1991,11-mar-1991,1.1725,57.0
24,15-dec-1991,25-jan-1992,1.6436,42.0
25,26-jan-1992,19-mar-1992,1.3135,54.0
26,20-mar-1992,24-apr-1992,1.5014,36.0
27,26-nov-1992,6-jan-1993,1.1252,42.0
28,7-jan-1993,16-feb-1993,2.1467,41.0
29,19-nov-1993,10-jan-1994,1.0499,53.0
30,11-jan-1994,8-mar-1994,1.4751,57.0
31,1-nov-1994,26-dec-1994,1.5024,56.0
32,27-dec-1994,31-jan-1995,1.3195,36.0
33,1-feb-1995,15-mar-1995,1.3163,43.0
34,16-mar-1995,24-apr-1995,1.1863,40.0
35,13-mar-1996,15-apr-1996,1.7187,34.0
36,19-nov-1996,9-jan-1997,1.8964,52.0
37,10-jan-1997,24-mar-1997,2.0449,74.0
38,25-mar-1997,20-apr-1997,1.822,27.0
39,8-nov-1997,11-jan-1998,1.2038,65.0
40,13-jan-1999,24-feb-1999,1.7227,43.0
41,25-feb-1999,5-may-1999,1.3196,70.0
42,22-nov-1999,31-dec-1999,1.0818,40.0
43,14-feb-2000,20-mar-2000,1.1107,36.0
44,10-nov-2000,17-dec-2000,1.6573,38.0
45,1-jan-2001,26-mar-2001,1.6116,85.0
46,27-oct-2001,9-jan-2002,1.3397,75.0
47,10-jan-2002,3-mar-2002,1.408,53.0
48,25-oct-2002,9-dec-2002,2.0323,46.0
49,10-dec-2002,25-jan-2003,1.3735,47.0
50,15-mar-2003,13-apr-2003,1.5151,30.0
51,28-nov-2003,16-jan-2004,1.9161,50.0
52,17-jan-2004,21-feb-2004,1.8795,36.0
53,22-feb-2004,17-apr-2004,1.6476,56.0
54,24-dec-2004,13-mar-2005,1.3413,80.0
55,14-mar-2005,25-apr-2005,2.4912,43.0
56,3-jan-2006,18-feb-2006,1.7244,47.0
57,19-feb-2006,11-apr-2006,1.0053,52.0
58,6-nov-2006,9-dec-2006,1.1571,34.0
59,10-dec-2006,12-feb-2007,1.3464,65.0
60,13-feb-2007,20-apr-2007,1.2246,67.0
61,4-dec-2007,22-jan-2008,1.9805,50.0
62,23-jan-2008,29-feb-2008,1.2864,38.0
63,1-mar-2008,9-apr-2008,1.7247,40.0
64,5-nov-2008,24-dec-2008,1.0617,50.0
65,22-feb-2009,29-mar-2009,1.0196,68.0
66,30-mar-2009,5-may-2009,2.203,37.0
67,29-oct-2009,9-dec-2009,1.617,42.0
68,23-dec-2009,27-feb-2010,1.3715,67.0
69,28-feb-2010,25-apr-2010,1.0605,57.0
70,20-nov-2010,27-jan-2011,1.2125,69.0
71,10-mar-2011,22-apr-2011,1.0562,44.0
72,17-nov-2011,20-jan-2012,1.3211,65.0
73,13-feb-2012,10-apr-2012,2.0542,58.0
74,11-dec-2012,2-feb-2013,1.6262,54.0
75,3-feb-2013,20-mar-2013,1.5394,46.0
76,1-dec-2013,4-feb-2014,1.1126,66.0
77,5-feb-2014,11-mar-2014,1.7103,35.0
78,12-mar-2014,3-may-2014,1.2886,53.0
79,12-nov-2014,16-dec-2014,1.4714,35.0
80,17-dec-2014,26-feb-2015,1.2924,72.0
81,27-feb-2015,24-mar-2015,2.3557,26.0
82,18-nov-2015,11-jan-2016,1.76,55.0
83,12-jan-2016,5-mar-2016,1.5553,54.0
84,6-mar-2016,31-mar-2016,1.251,26.0
85,17-jan-2017,16-feb-2017,2.006,31.0
86,3-nov-2017,27-dec-2017,1.1268,55.0
87,28-dec-2017,20-feb-2018,2.3392,55.0
88,21-feb-2018,6-apr-2018,1.3831,45.0
