,Starting date,Ending date,p1,p2,p3,p4,p5,p6,p7,p8,p123,p567,lf
0,18-nov-1981,28-dec-1981,2.0,2.0,3.0,8.0,7.0,5.0,11.0,3.0,7.0,23.0,41.0
1,27-feb-1982,10-apr-1982,4.0,11.0,5.0,2.0,6.0,6.0,7.0,2.0,20.0,19.0,43.0
2,22-nov-1982,10-dec-1982,3.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,9.0,5.0,19.0
3,11-dec-1982,30-jan-1983,3.0,3.0,14.0,9.0,3.0,2.0,4.0,13.0,20.0,9.0,51.0
4,25-jan-1984,24-mar-1984,6.0,14.0,8.0,1.0,1.0,1.0,15.0,14.0,28.0,17.0,60.0
5,25-mar-1984,25-apr-1984,8.0,4.0,6.0,4.0,3.0,2.0,3.0,2.0,18.0,8.0,32.0
6,1-nov-1984,22-jan-1985,12.0,11.0,14.0,10.0,7.0,6.0,11.0,12.0,37.0,24.0,83.0
7,23-jan-1985,30-mar-1985,5.0,8.0,8.0,6.0,8.0,10.0,10.0,12.0,21.0,28.0,67.0
8,20-dec-1985,26-feb-1986,14.0,6.0,9.0,9.0,6.0,7.0,10.0,8.0,29.0,23.0,69.0
9,27-feb-1986,23-apr-1986,2.0,14.0,7.0,6.0,6.0,11.0,8.0,2.0,23.0,25.0,56.0
10,24-dec-1986,5-mar-1987,7.0,6.0,15.0,10.0,1.0,11.0,18.0,4.0,28.0,30.0,72.0
11,6-mar-1987,25-apr-1987,13.0,5.0,8.0,4.0,2.0,5.0,4.0,10.0,26.0,11.0,51.0
12,27-oct-1987,1-dec-1987,0.0,6.0,3.0,8.0,3.0,13.0,3.0,0.0,9.0,19.0,36.0
13,2-dec-1987,12-jan-1988,0.0,1.0,6.0,5.0,4.0,7.0,8.0,11.0,7.0,19.0,42.0
14,13-jan-1988,29-feb-1988,2.0,9.0,8.0,2.0,3.0,10.0,5.0,9.0,19.0,18.0,48.0
15,1-mar-1988,14-apr-1988,11.0,4.0,6.0,4.0,4.0,3.0,6.0,7.0,21.0,13.0,45.0
16,28-dec-1988,17-feb-1989,11.0,9.0,6.0,2.0,4.0,3.0,16.0,1.0,26.0,23.0,52.0
17,24-mar-1989,4-may-1989,3.0,6.0,4.0,7.0,6.0,8.0,4.0,4.0,13.0,18.0,42.0
18,19-dec-1989,9-feb-1990,2.0,5.0,17.0,4.0,8.0,7.0,8.0,2.0,24.0,23.0,53.0
19,10-feb-1990,28-mar-1990,8.0,5.0,4.0,8.0,7.0,3.0,9.0,3.0,17.0,19.0,47.0
20,29-mar-1990,26-apr-1990,6.0,1.0,6.0,5.0,2.0,5.0,3.0,1.0,13.0,10.0,29.0
21,5-dec-1990,13-jan-1991,4.0,4.0,4.0,6.0,9.0,4.0,9.0,0.0,12.0,22.0,40.0
22,14-jan-1991,11-mar-1991,0.0,6.0,2.0,6.0,24.0,5.0,5.0,9.0,8.0,34.0,57.0
